Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and country
1742,3,Estratovolcán,True,True,Cotopaxi(Ecuador)
1749,3,Estratovolcán,False,False,Taal(Philippines)
1848,2,Estratovolcán,True,True,Kelut(Indonesia)
1861,3,Estratovolcán,True,False,Dubbi(Eritrea)
1892,2,Caldera,False,True,Tofua(Tonga)
1897,3,Estratovolcán,True,True,Mayon(Philippines)
1902,,Estratovolcán,False,True,Pelee(Martinique)
1912,3,Volcán escudo,True,True,"Nyamuragira(Congo, DRC)"
1919,1,Estratovolcán,True,True,Popocatepetl(Mexico)
1919,,Volcán submarino,False,True,Banua Wuhu(Indonesia)
1923,2,Volcanes submarinos,False,False,"Cendres, Ile des(Vietnam)"
1929,2,Estratovolcán,True,True,Etna(Italy)
1939,2,Estratovolcán,True,True,Tori-shima(Japan)
1940,2,Estratovolcán,True,True,Karangetang [Api Siau](Indonesia)
1947,2,Volcán complejo,True,True,Asama(Japan)
1957,2,Estratovolcán,True,True,Oshima(Japan)
1979,2,Caldera,True,True,Aso(Japan)
1980,,Estratovolcán,True,True,Hood(United States)
1989,,Volcán escudo,True,True,Kirishima(Japan)
1994,1,Caldera,True,True,Aso(Japan)
2001,3,Estratovolcán,True,True,Etna(Italy)
2011,2,Estratovolcán,True,True,Bulusan(Philippines)
2014,,Estratovolcán,True,True,Kelut(Indonesia)
50,6,Escudo piroclástico,True,True,Ambrym(Vanuatu)
590,,Estratovolcán,True,True,San Salvador(El Salvador)
1302,,Volcán complejo,True,True,Ischia(Italy)
1568,3,Estratovolcán,True,True,Savo(Solomon Is.)
1570,,Estratovolcán,True,True,Mombacho(Nicaragua)
1663,5,Estratovolcán,True,True,Usu(Japan)
1693,,Estratovolcán,True,False,Etna(Italy)
1755,4,Volcán subglacial,True,True,Katla(Iceland)
1843,2,Estratovolcán,True,True,Lamongan(Indonesia)
1872,3,Volcán complejo,True,True,Vesuvius(Italy)
1878,2,Volcán escudo,False,False,Okmok(United States)
1913,3,Escudo piroclástico,True,True,Ambrym(Vanuatu)
1949,2,Estratovolcán,True,True,Purace(Colombia)
1957,2,Caldera,True,True,Aso(Japan)
1963,3,Estratovolcán,True,True,Irazu(Costa Rica)
1971,3,Estratovolcán,True,True,Fuego(Guatemala)
1992,3,Cono de ceniza,True,True,"Negro, Cerro(Nicaragua)"
1997,,Estratovolcán,True,True,Hakkoda Group(Japan)
1997,,Estratovolcán,True,True,Adatara(Japan)
1997,,Caldera,True,True,Aso(Japan)
2004,1,Estratovolcán,True,True,Egon(Indonesia)
2013,,Estratovolcán,True,True,Paluweh(Indonesia)
2013,,Estratovolcán,True,True,Sakura-jima(Japan)
2015,,Estratovolcán,True,True,Karangetang [Api Siau](Indonesia)
-1460,6,Caldera,True,True,Taupo(New Zealand)
1000,7,Estratovolcán,True,True,Changbaishan(North Korea)
1727,4,Estratovolcán,True,True,Oraefajokull(Iceland)
1826,3,Estratovolcán,True,True,Kelut(Indonesia)
1868,2,Volcán escudo,False,False,Mauna Loa(United States)
1869,2,Estratovolcán,True,True,Lewotobi(Indonesia)
1895,2,Caldera,True,True,Dakataua(Papua New Guinea)
1900,2,Estratovolcán,True,True,Adatara(Japan)
1900,,Cono de piedra pómez,True,True,Tullu Moje(Ethiopia)
1902,2,Estratovolcán,True,True,Merapi(Indonesia)
1907,2,Estratovolcán,True,True,Lewotobi(Indonesia)
1913,2,Estratovolcán,False,False,Awu(Indonesia)
1930,3,Volcán complejo,True,True,Asama(Japan)
1932,,Estratovolcán,True,True,Merapi(Indonesia)
1938,1,Volcán escudo,False,True,"Nyamuragira(Congo, DRC)"
1938,2,Estratovolcán,True,True,Mayon(Philippines)
1954,,Estratovolcán,True,True,Camiguin(Philippines)
1958,2,Estratovolcán,True,True,Mahawu(Indonesia)
1961,,Estratovolcán,True,True,Tate-yama(Japan)
1964,2,Estratovolcán,True,True,Paluweh(Indonesia)
1992,4,Estratovolcán,True,True,Spurr(United States)
1995,,Estratovolcán,True,True,Parker(Philippines)
1998,,Estratovolcán,True,True,Kelut(Indonesia)
2000,3,Estratovolcán,True,True,Arenal(Costa Rica)
2010,1,Volcán complejo,True,True,Pacaya(Guatemala)
2010,,Estratovolcán,True,True,Merapi(Indonesia)
2011,,Estratovolcán,True,True,Lokon-Empung(Indonesia)
2013,,Estratovolcán,True,True,Merapi(Indonesia)
2016,,Estratovolcán,True,True,Rinjani(Indonesia)
2018,,Volcán escudo,True,True,Kilauea(United States)
1280,6,Caldera,True,True,Quilotoa(Ecuador)
1540,4,Domo de lava,False,True,Augustine(United States)
1660,6,Volcán complejo,False,True,Long Island(Papua New Guinea)
1858,,Estratovolcán,True,False,Tate-yama(Japan)
1864,2,Estratovolcán,True,True,Kelut(Indonesia)
1873,2,Estratovolcán,True,True,Ragang(Philippines)
1902,3,Estratovolcán,True,True,Tori-shima(Japan)
1907,2,Volcán escudo,True,True,Alayta(Ethiopia)
1909,2,Estratovolcán,True,True,Semeru(Indonesia)
1919,4,Estratovolcán,True,True,Kelut(Indonesia)
1919,,Estratovolcán,True,True,Nasu(Japan)
1920,3,Estratovolcán,True,True,Izalco(El Salvador)
1938,,Estratovolcán,True,True,Bandai(Japan)
1949,3,Estratovolcán,True,True,Villarrica(Chile)
1963,3,Estratovolcán,True,True,Fuego(Guatemala)
1968,3,Estratovolcán,True,True,Mayon(Philippines)
1985,3,Estratovolcán,True,True,Semeru(Indonesia)
1992,2,Volcán complejo,True,True,Marapi(Indonesia)
2001,2,Estratovolcán,True,True,Stromboli(Italy)
2004,4,Estratovolcán,True,True,Manam(Papua New Guinea)
2010,,Estratovolcán,False,False,Sarigan(United States)
2018,2,Estratovolcán,True,False,Etna(Italy)
2020,,Estratovolcán,True,True,Taal(Philippines)
-3580,6,Estratovolcán,True,True,Taal(Philippines)
-2040,6,Volcán complejo,True,True,Long Island(Papua New Guinea)
653,6,Caldera,True,True,Dakataua(Papua New Guinea)
683,6,Escudo piroclástico,True,True,Rabaul(Papua New Guinea)
950,,Volcán subglacial,True,True,Katla(Iceland)
1580,3,Respiradero de fisura,True,True,San Jorge(Portugal)
1581,4,Estratovolcán,True,True,Fuego(Guatemala)
1608,3,Estratovolcán,False,True,Gamalama(Indonesia)
1625,5,Volcán subglacial,True,True,Katla(Iceland)
1660,4,Estratovolcán,True,True,Teon(Pacific Ocean)
1773,2,Estratovolcán,True,True,Gamalama(Indonesia)
1779,2,Volcán complejo,True,True,Vesuvius(Italy)
1801,2,Estratovolcán,True,True,Chokai(Japan)
1804,3,Caldera,True,True,Shikotsu(Japan)
1820,2,Estratovolcán,False,False,Westdahl(United States)
1845,4,Estratovolcán,True,True,Hekla(Iceland)
1867,2,Volcán complejo,True,True,Zao(Japan)
1870,2,Volcán escudo,True,True,Aoba(Vanuatu)
1910,,Caldera,True,True,Taupo(New Zealand)
1952,,Volcán complejo,True,True,Hakone(Japan)
1953,2,Caldera,True,True,Aso(Japan)
1963,3,Estratovolcán,True,True,Irazu(Costa Rica)
1974,1,Estratovolcán,False,True,Ritter Island(Papua New Guinea)
1986,2,Estratovolcán,True,True,Merapi(Indonesia)
1987,3,Volcán complejo,True,True,Pacaya(Guatemala)
1990,,Escudo piroclástico,True,True,Rabaul(Papua New Guinea)
1993,,Estratovolcán,True,True,Pinatubo(Philippines)
2000,2,Estratovolcán,False,False,Miyake-jima(Japan)
2006,1,Estratovolcán,True,True,Mayon(Philippines)
2009,,Estratovolcán,True,True,Redoubt(United States)
2016,,Estratovolcán,True,True,Sinabung(Indonesia)
2018,,Estratovolcán,True,True,Kusatsu-Shirane(Japan)
2019,2,Estratovolcán,True,True,Stromboli(Italy)
-1645,6,Caldera,True,True,Aniakchak(United States)
1636,3,Estratovolcán,True,True,Hekla(Iceland)
1669,3,Estratovolcán,True,True,Etna(Italy)
1698,3,Volcán complejo,False,True,Vesuvius(Italy)
1706,2,Estratovolcán,False,True,Tenerife(Spain)
1707,4,Estratovolcán,True,False,Fuji(Japan)
1826,2,Volcán complejo,True,True,Dieng Volc Complex(Indonesia)
1832,2,Estratovolcán,True,True,Etna(Italy)
1835,5,Estratovolcán,True,True,Cosiguina(Nicaragua)
1860,,Caldera,True,True,Grimsvotn(Iceland)
1871,2,Estratovolcán,True,True,Gamalama(Indonesia)
1872,4,Estratovolcán,True,True,Sinarka(Russia)
1899,4,Estratovolcán,True,True,Dona Juana(Colombia)
1905,2,Volcán complejo,True,True,Vesuvius(Italy)
1924,2,Volcán escudo,True,True,Kilauea(United States)
1931,3,Volcán complejo,True,True,Asama(Japan)
1947,2,Estratovolcán,True,True,Mayon(Philippines)
1957,2,Estratovolcán,True,False,Vsevidof(United States)
1963,2,Caldera,True,True,Batur(Indonesia)
1967,3,Estratovolcán,True,True,"Lengai, Ol Doinyo(Tanzania)"
1969,3,Estratovolcán,True,True,Iya(Indonesia)
1988,3,Estratovolcán,True,True,Semeru(Indonesia)
1990,2,Caldera,True,True,Aso(Japan)
1994,,Estratovolcán,True,False,Huila(Colombia)
1999,4,Estratovolcán,True,True,Shiveluch(Russia)
1999,3,Estratovolcán,True,True,Tungurahua(Ecuador)
2019,2,Estratovolcán,True,True,White Island(New Zealand)
