Team,Nationality,Position,Age,Potential,Name
Juventus ,Colombia,Lateral Derecho|Medio Derecho|Extremo Derecho,32,Muy Bueno,Juan Cuadrado
VfL Wolfsburg ,Belgium,Portero,28,Muy Bueno,Koen Casteels
Bayer 04 Leverkusen ,Finland,Portero,30,Muy Bueno,Lukáš Hrádecky
Ajax ,Netherlands,Lateral Izquierdo|Defensa Central|Medio Centro Defensivo,30,Muy Bueno,Daley Blind
Athletic Club ,Spain,Medio Centro Ofensivo|Extremo Derecho|Extremo Izquierdo,27,Muy Bueno,Muniain
Eintracht Frankfurt ,Germany,Portero,30,Muy Bueno,Kevin Trapp
Manchester City ,England,Lateral Derecho,30,Muy Bueno,Kyle Walker
Juventus ,Wales,Medio Centro|Medio Centro Ofensivo,29,Muy Bueno,Aaron Ramsey
Shanghai SIPG FC ,Austria,Delantero Centro,31,Muy Bueno,Marko Arnautovic
Fenerbahçe SK ,Germany,Delantero Centro|Medio Centro Ofensivo,32,Muy Bueno,Max Kruse
FC Bayern München ,Croatia,Medio Izquierdo|Extremo Izquierdo,31,Muy Bueno,Ivan Perišic
Juventus ,Germany,Medio Centro Defensivo|Medio Centro,33,Muy Bueno,Sami Khedira
Wolverhampton Wanderers ,Portugal,Portero,32,Muy Bueno,Rui Patrício
Arsenal ,Germany,Medio Centro Ofensivo|Extremo Derecho,31,Muy Bueno,Mesut Özil
Dalian YiFang FC ,Slovakia,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,33,Muy Bueno,Marek Hamšík
Valencia CF ,Argentina,Defensa Central,33,Muy Bueno,Ezequiel Garay
LAFC ,Mexico,Medio Centro Ofensivo|Extremo Derecho|Extremo Izquierdo,31,Muy Bueno,Carlos Vela
Olympique de Marseille ,France,Portero,35,Muy Bueno,Steve Mandanda
Leicester City ,Denmark,Portero,33,Muy Bueno,Kasper Schmeichel
Villarreal CF ,Spain,Defensa Central,34,Muy Bueno,Raúl Albiol
Villarreal CF ,Spain,Medio Centro Defensivo|Medio Izquierdo|Medio Centro,35,Muy Bueno,Santi Cazorla
Juventus ,Italy,Portero,42,Muy Bueno,Gianluigi Buffon
Free Agents ,Uruguay,Medio Derecho|Medio Centro Ofensivo,28,Muy Bueno,José María Sildero
Free Agents ,Uruguay,Defensa Central,28,Muy Bueno,Egidio Maestre Schetino
SL Benfica ,Portugal,Defensa Central,23,Muy Bueno,Rúben Dias
Real Madrid ,Uruguay,Medio Centro Defensivo|Medio Centro,22,Sobresaliente,Federico Valverde
SV Werder Bremen ,Czech Republic,Portero,28,Muy Bueno,Jirí Pavlenka
Borussia Dortmund ,Morocco,Lateral Derecho|Lateral Izquierdo|Medio Derecho,21,Muy Bueno,Achraf Hakimi
Real Madrid ,Serbia,Delantero Centro,22,Muy Bueno,Luka Jovic
Manchester City ,Brazil,Delantero Centro,23,Muy Bueno,Gabriel Jesus
Flamengo ,Brazil,Delantero Centro,28,Muy Bueno,Oswaldinato
Palmeiras ,Brazil,Delantero Centro|Medio Centro Ofensivo|Media Punta,24,Muy Bueno,Nuno Padrenda
Atlético Mineiro ,Brazil,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,20,Muy Bueno,Rosberto Dourado
Cruzeiro ,Brazil,Defensa Central|Medio Centro Defensivo,24,Muy Bueno,Juiano Mestres
Grêmio ,Brazil,Portero,32,Muy Bueno,Raphaelito Anjos
Manchester United ,England,Carrilero Derecho|Lateral Derecho|Extremo Derecho,22,Muy Bueno,Aaron Wan-Bissaka
Borussia Mönchengladbach ,Switzerland,Defensa Central|Medio Centro Defensivo|Medio Centro,23,Muy Bueno,Denis Zakaria
FC Barcelona ,Portugal,Lateral Derecho,26,Muy Bueno,Nélson Semedo
Tottenham Hotspur ,Argentina,Medio Centro|Medio Centro Ofensivo,24,Muy Bueno,Giovani Lo Celso
Arsenal ,Ivory Coast,Medio Derecho|Extremo Derecho,25,Muy Bueno,Nicolas Pépé
Tottenham Hotspur ,Netherlands,Medio Centro Ofensivo|Extremo Derecho|Extremo Izquierdo,22,Muy Bueno,Steven Bergwijn
