team,nationality,position,age,potential,name
eijing Sinobo Guoan F,China PR,Medio Derecho | Medio Izquierdo | Medio Centro | ,27,Bueno,Hu Yanqiang
hanghai Greenland Shenhua F,China PR,Medio Izquierdo | Medio Centro | Extremo Izquierdo | ,30,Bueno,Zhu Baojie
hanghai Greenland Shenhua F,China PR,Lateral Derecho | Defensa Central | ,29,Bueno,Aidi Fulangxisi
outhampto,England,Portero,22,Bueno,Harry Lewis
alkenbergs F,Sweden,Medio Derecho | Medio Izquierdo | Medio Centro | ,31,Bueno,Christoffer Carlsson
amilton Academical F,England,Delantero Centro,24,Bueno,George Oakley
lub River Plate Asunció,Argentina,Medio Centro,25,Bueno,Emiliano Agüero
V Mattersbur,Austria,Portero,24,Bueno,Tino Casali
oss County F,Scotland,Defensa Central,25,Bueno,Coll Donaldson
ebei China Fortune F,China PR,Medio Centro Defensivo | Medio Centro | ,27,Bueno,Luo Senwen
eal Salt Lak,England,Medio Centro Defensivo | Medio Centro | ,31,Bueno,Luke Mulholland
studiantes de Mérid,Colombia,Delantero Centro | Extremo Izquierdo | ,33,Bueno,Wilson Mena
hamrock Rover,Republic of Ireland,Medio Centro Defensivo | Medio Centro | ,25,Bueno,Gary O'Neill
JK Helsink,Finland,Delantero Centro,27,Bueno,Tim Väyrynen
G Sonnenhof Großaspac,Germany,Lateral Izquierdo | Defensa Central | Medio Izquierdo | ,28,Bueno,Dan-Patrick Poggenberg
lackpoo,England,Delantero Centro,23,Bueno,Joe Nuttall
azi,Italy,Portero,24,Bueno,Guido Guerrieri
S Nancy Lorrain,France,Medio Centro Defensivo | Medio Centro | ,26,Bueno,Grégoire Lefebvre
outhend Unite,Cyprus,Defensa Central,23,Bueno,Harry Kyprianou
oventry Cit,Sierra Leone,Delantero Centro,24,Bueno,Amadou Bakayoko
ilton Keynes Don,England,Medio Centro | Medio Centro Ofensivo | ,28,Bueno,Ben Gladwin
ree Agent,New Zealand,Medio Centro Defensivo | Medio Centro | ,24,Bueno,Matthew Ridenton
ncheon United F,Australia,Medio Centro Defensivo | Medio Centro | ,28,Bueno,Rashid Mahazi
tlético Naciona,Colombia,Delantero Centro,27,Bueno,Fabián González
trømsgodset I,Norway,Portero,24,Bueno,Viljar Myhra
l Ittiha,Saudi Arabia,Lateral Derecho | Defensa Central | ,26,Bueno,Amaar Ali Al Dohaim
lask Wrocla,Poland,Lateral Derecho,24,Bueno,Kamil Dankowski
ellington Phoeni,New Zealand,Medio Centro Defensivo | Medio Centro | ,24,Bueno,Alex Rufer
pusu SKN St. Pölte,Sierra Leone,Carrilero Derecho | Lateral Izquierdo | Carrilero Izquierdo | Extremo Derecho | Extremo Izquierdo | ,23,Bueno,George Davies
heltenham Tow,Republic of Ireland,Carrilero Derecho | Lateral Derecho | Extremo Derecho | ,25,Bueno,Sean Long
niversidad de Chil,Chile,Portero,24,Bueno,Nelson Espinoza
V Meppe,Germany,Lateral Derecho,26,Bueno,Janik Jesgarzewski
iburones Rojos de Veracru,Mexico,Medio Derecho,26,Bueno,Jesús Henestrosa
jøndalen I,Iran,Portero,33,Bueno,Sosha Makani
alford Cit,England,Lateral Derecho,26,Bueno,Oscar Threlkeld
hemnitzer F,Germany,Lateral Derecho | Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo | ,25,Bueno,Paul Milde
C Chambly Ois,France,Medio Centro Defensivo | Medio Centro | ,27,Bueno,Sébastien Flochon
orecamb,England,Medio Centro Defensivo | Medio Centro | ,28,Bueno,Alex Kenyon
acclesfield Tow,England,Medio Centro Defensivo | Medio Centro | ,25,Bueno,Jak McCourt
acclesfield Tow,England,Medio Centro,26,Bueno,Danny Whitehead
SV Cercle Brugg,Belgium,Portero,26,Bueno,Miguel Van Damme
ttifaq F,Saudi Arabia,Defensa Central,31,Bueno,Ali Nasser Al Khaibari
yngby B,Denmark,Portero,36,Bueno,Thomas Mikkelsen
C Horsen,Denmark,Medio Izquierdo,30,Bueno,Jonas Thorsen
iverpool Fútbol Clu,Uruguay,Lateral Izquierdo | Defensa Central | ,35,Bueno,Ernesto Goñi
eportes Iquiqu,Chile,Delantero Centro | Extremo Derecho | ,24,Bueno,Misael Cubillos
D Universidad de Concepció,Uruguay,Defensa Central,36,Bueno,Nicolás Correa
ambridge Unite,England,Delantero Centro,25,Bueno,Paul Mullin
D Cobresa,Chile,Lateral Derecho,32,Bueno,Mario Pardo
D Everton de Viña del Ma,Chile,Lateral Derecho | Medio Centro | ,25,Bueno,Álvaro Madrid
nión Español,Chile,Lateral Izquierdo,27,Bueno,Mario Larenas
nión Español,Chile,Defensa Central,26,Bueno,Nicolás Mancilla
lub Atlético Tigr,Argentina,Lateral Izquierdo,26,Bueno,Lucas Rodríguez
eportes Tolim,Colombia,Portero,27,Bueno,William Cuesta
aguares Fútbol Clu,Colombia,Delantero Centro | Medio Izquierdo | ,29,Bueno,John Stewart García
lianza Petroler,Colombia,Defensa Central,29,Bueno,David Valencia
D Universidad de Concepció,Chile,Lateral Izquierdo | Defensa Central | ,24,Bueno,Hardy Cavero
D Cobresa,Chile,Medio Centro,30,Bueno,Juan Gutiérrez
tlético Bucaramang,Colombia,Lateral Derecho,29,Bueno,Cristian Subero
ndependiente Medellí,Colombia,Medio Derecho | Medio Izquierdo | ,27,Bueno,Bayron Garcés
ansfield Tow,England,Carrilero Derecho | Lateral Derecho | Defensa Central | Extremo Derecho | ,25,Bueno,Hayden White
urton Albio,Republic of Ireland,Portero,24,Bueno,Kieran O'Hara
windon Tow,England,Defensa Central,24,Bueno,Dion Conroy
ilton Keynes Don,England,Defensa Central | Medio Centro Defensivo | Medio Centro | ,24,Bueno,Jordan Houghton
ivingston F,Scotland,Lateral Izquierdo | Defensa Central | ,29,Bueno,Aaron Taylor-Sinclair
yngby B,Denmark,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo | ,25,Bueno,Patrick Da Silva
yeongnam F,Korea Republic,Delantero Centro | Defensa Central | ,30,Bueno,Lee Kwang Sun
eyton Orien,Republic of Ireland,Delantero Centro,25,Bueno,Conor Wilkinson
elbourne Victor,New Zealand,Lateral Derecho,27,Bueno,Storm Roux
ansfield Tow,England,Defensa Central,25,Bueno,Matt Preston
yeongnam F,Korea Republic,Defensa Central | Medio Centro Defensivo | ,29,Bueno,Kim Gyeong Min
tabæk Fotbal,Japan,Delantero Centro,25,Bueno,Kosuke Kinoshita
ammarby I,Sweden,Medio Centro,26,Bueno,Tim Söderström
otbal Club Academica Clincen,DR Congo,Medio Derecho | Medio Izquierdo | ,26,Bueno,Aristote N'Dongala
ervette F,Korea Republic,Delantero Centro | Medio Izquierdo | ,26,Bueno,Park Jung Bin
ewport Count,England,Portero,25,Bueno,Nick Townsend
C Preußen Münste,Germany,Medio Centro Defensivo | Medio Centro | ,25,Bueno,Nico Brandenburger
stersunds F,Sweden,Portero,24,Bueno,Sixten Mohlin
hemnitzer F,Germany,Lateral Derecho | Defensa Central | Medio Centro Defensivo | ,25,Bueno,Pascal Itter
avre Athletic Clu,France,Lateral Izquierdo,27,Bueno,Baba Traoré
l Wehd,Saudi Arabia,Portero,29,Bueno,Abdullah Al Jadani
G Sonnenhof Großaspac,Germany,Lateral Izquierdo | Medio Centro Defensivo | Medio Izquierdo | ,28,Bueno,Michael Vitzthum
allescher F,Germany,Medio Izquierdo | Medio Centro | Extremo Izquierdo | ,28,Bueno,Dennis Mast
C Carl Zeiss Jen,Germany,Lateral Derecho | Defensa Central | Medio Derecho | ,32,Bueno,Matthias Kühne
ellington Phoeni,New Zealand,Carrilero Derecho | Lateral Derecho | Extremo Derecho | ,27,Bueno,Louis Fenton
amora Fútbol Clu,Venezuela,Delantero Centro,26,Bueno,Manuel Arteaga
alsal,England,Carrilero Derecho | Lateral Derecho | Extremo Derecho | ,25,Bueno,Shay Facey
ranmere Rover,Northern Ireland,Medio Centro Defensivo | Medio Centro | ,26,Bueno,Luke McCullough
urton Albio,England,Lateral Izquierdo | Defensa Central | Medio Centro Defensivo | ,25,Bueno,Kieran Wallace
IF Sundsval,Sweden,Carrilero Izquierdo | Medio Izquierdo | Extremo Izquierdo | ,25,Bueno,Dennis Olsson
ilkeborg I,Denmark,Lateral Izquierdo | Defensa Central | ,27,Bueno,Frederik Møller
t. Mirre,Jamaica,Delantero Centro,25,Bueno,Junior Morias
oss County F,Scotland,Lateral Izquierdo | Medio Izquierdo | ,26,Bueno,Sean Kelly
eyton Orien,England,Delantero Centro,25,Bueno,Lee Angol
estern Sydney Wanderer,Australia,Portero,32,Bueno,Vedran Janjetovic
cunthorpe Unite,Republic of Ireland,Portero,25,Bueno,Ian Lawlor
xeter Cit,England,Defensa Central,35,Bueno,Gary Warren
hamrock Rover,Republic of Ireland,Lateral Izquierdo | Medio Centro Defensivo | Medio Izquierdo | ,26,Bueno,Sean Kavanagh
elbourne Victor,Australia,Defensa Central | Medio Centro Defensivo | ,26,Bueno,Giancarlo Gallifuoco
stersunds F,England,Medio Derecho | Medio Izquierdo | Extremo Derecho | ,26,Bueno,Blair Turgott
l Rae,Saudi Arabia,Lateral Izquierdo | Defensa Central | ,31,Bueno,Hussain Al Shuwaysh
l Faisal,Saudi Arabia,Portero,29,Bueno,Ahmed Ali Al Kassar
ligo Rover,Republic of Ireland,Medio Centro | Medio Centro Ofensivo | ,26,Bueno,Garry Buckley
almar F,Nigeria,Defensa Central,27,Bueno,Gbenga Arokoyo
hamrock Rover,Republic of Ireland,Delantero Centro,30,Bueno,Rory Gaffney
orthampton Tow,England,Defensa Central | Medio Centro Defensivo | ,25,Bueno,Jordan Turnbull
orthampton Tow,England,Lateral Derecho | Defensa Central | ,25,Bueno,Reece Hall-Johnson
rapan,Italy,Lateral Izquierdo | Defensa Central | ,26,Bueno,Stefano Scognamillo
otbal Club Politehnica Ia?,Netherlands,Delantero Centro,27,Bueno,Kevin Luckassen
obro I,Denmark,Lateral Derecho | Medio Centro | ,31,Bueno,Nicholas Gotfredsen
pusu SKN St. Pölte,Austria,Medio Derecho | Medio Izquierdo | ,29,Bueno,Daniel Schütz
eracles Almel,Germany,Defensa Central,27,Bueno,Stephen Sama
hiavar,Hungary,Medio Centro Ofensivo | Extremo Derecho | ,27,Bueno,Krisztián Adorján
C Emme,Netherlands,Medio Centro Ofensivo,27,Bueno,Henk Bos
t. Johnstone F,Scotland,Delantero Centro,25,Bueno,Chris Kane
risbane Roa,Wales,Delantero Centro | Medio Derecho | ,27,Bueno,Aaron Amadi-Holloway
rimsby Tow,Wales,Lateral Derecho | Medio Centro | ,26,Bueno,Elliott Hewitt
ort Val,England,Medio Centro,27,Bueno,Emmanuel Oyeleke
eyton Orien,England,Medio Derecho | Medio Izquierdo | Medio Centro Ofensivo | ,27,Bueno,Louis Dennis
entral Coast Mariner,Australia,Medio Derecho,28,Bueno,Chris Harold
cunthorpe Unite,Cameroon,Defensa Central | Medio Centro Defensivo | Medio Centro | ,28,Bueno,Yann Songo'o
ußballclub Viktoria Köln 1904 e.V,Bosnia & Herzegovina,Lateral Derecho | Defensa Central | ,27,Bueno,Sead Hajrovic
ellas Veron,Italy,Portero,29,Bueno,Alessandro Berardi
anders F,Norway,Delantero Centro,29,Bueno,Benjamin Stokke
risbane Roa,Australia,Lateral Derecho | Defensa Central | ,28,Bueno,Daniel Bowles
KE Ankaragüc,Turkey,Lateral Izquierdo,30,Bueno,Mehmet Sak
incoln Cit,Republic of Ireland,Defensa Central,28,Bueno,Cian Bolger
arpsborg 08 F,Norway,Delantero Centro,29,Bueno,Alexander Ruud Tveter
G Sonnenhof Großaspac,Germany,Medio Centro Defensivo | Medio Centro | ,30,Bueno,Nicolas Jüllich
urton Albio,England,Portero,26,Bueno,Ben Garratt
KS Raków Czestochowa S,Poland,Portero,28,Bueno,Jakub Szumski
yeongnam F,Korea Republic,Medio Derecho,33,Bueno,Ko Kyung Min
radford Cit,England,Lateral Derecho | Defensa Central | ,29,Bueno,Kelvin Mellor
C Sio,Angola,Medio Centro Defensivo | Medio Centro | ,28,Bueno,Joaquim Adão
C Preußen Münste,Germany,Delantero Centro,30,Bueno,Marco Königs
uwon Samsung Bluewing,Korea Republic,Portero,31,Bueno,Kim Da Sol
estern United F,Australia,Defensa Central,27,Bueno,Brendan Hamill
ohemian F,Republic of Ireland,Delantero Centro,31,Bueno,Dinny Corcoran
ohemian F,Republic of Ireland,Medio Derecho | Medio Izquierdo | Medio Centro Ofensivo | ,29,Bueno,Keith Ward
ort Val,England,Delantero Centro,28,Bueno,Mark Cullen
tevenag,England,Medio Centro Defensivo | Medio Derecho | Medio Centro | ,28,Bueno,Dean Parrett
jøndalen I,Ivory Coast,Extremo Izquierdo,29,Bueno,Vamouti Diomande
orthampton Tow,England,Portero,30,Bueno,Steve Arnold
eyton Orien,England,Medio Centro,28,Bueno,Craig Clay
FC Wimbledo,Ghana,Delantero Centro,29,Bueno,Kwesi Appiah
ycombe Wanderer,Antigua & Barbuda,Delantero Centro,29,Bueno,Josh Parker
acclesfield Tow,England,Defensa Central,28,Bueno,Nathan Cameron
rimsby Tow,England,Defensa Central,28,Bueno,Harry Davis
honan Bellmar,Japan,Medio Centro | Medio Centro Ofensivo | Media Punta | ,30,Bueno,Naoki Yamada
ort Val,Colombia,Lateral Izquierdo | Medio Izquierdo | ,28,Bueno,Cristian Montano
ambridge Unite,Bermuda,Medio Izquierdo | Medio Centro | ,29,Bueno,Reggie Lambe
alern,Italy,Portero,31,Bueno,Stefano Russo
ranmere Rover,England,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo | ,29,Bueno,Liam Ridehalgh
rimsby Tow,Sweden,Defensa Central,28,Bueno,Ludvig Öhman
t. Mirre,Northern Ireland,Lateral Derecho | Lateral Izquierdo | ,28,Bueno,Lee Hodson
igres U.A.N.L,Mexico,Portero,27,Bueno,Eduardo Fernández
oss County F,England,Medio Centro Defensivo | Medio Centro | ,31,Bueno,Ross Draper
erth Glor,Australia,Defensa Central | Medio Centro Defensivo | ,29,Bueno,Osama Malik
otbal Club Academica Clincen,Moldova,Medio Centro Defensivo | Medio Centro | ,35,Bueno,Eugeniu Cebotaru
ineros de Guayan,Venezuela,Medio Izquierdo | Medio Centro Ofensivo | ,27,Bueno,Josmar Zambrano
l Adalah Clu,Saudi Arabia,Portero,34,Bueno,Ali Al Mazaidi
ancouver Whitecaps F,Canada,Delantero Centro,32,Bueno,Tosaint Ricketts
lub Deportivo El Naciona,Ecuador,Medio Centro Defensivo | Medio Centro | ,34,Bueno,Pedro Quiñonez
ewport Count,England,Medio Centro | Medio Centro Ofensivo | ,29,Bueno,Joss Labadie
ewport Count,England,Defensa Central | Medio Centro Defensivo | ,29,Bueno,Scot Bennett
illingha,Republic of Ireland,Medio Centro Defensivo | Medio Centro | ,31,Bueno,Mark Byrne
orecamb,England,Delantero Centro | Medio Centro Ofensivo | ,30,Bueno,AJ Leitch-Smith
V Mattersbur,Austria,Lateral Derecho | Medio Derecho | Medio Centro | ,30,Bueno,Florian Hart
FC Eskilstun,Kosovo,Medio Centro Defensivo | Medio Centro | ,30,Bueno,Anel Rashkaj
FR Clu,Poland,Portero,30,Bueno,Grzegorz Sandomierski
ort Val,England,Defensa Central,30,Bueno,Shaun Brisley
rebro S,lbania,Delantero Centro,30,Bueno,Agon Mehmeti
t. Patrick's Athleti,Republic of Ireland,Lateral Izquierdo | Carrilero Izquierdo | Medio Izquierdo | Extremo Izquierdo | ,31,Bueno,Ian Bermingham
t. Patrick's Athleti,Republic of Ireland,Carrilero Derecho | Lateral Derecho | Extremo Derecho | ,32,Bueno,Simon Madden
rimsby Tow,England,Delantero Centro | Extremo Derecho | Extremo Izquierdo | ,33,Bueno,Matt Green
CR Altac,Switzerland,Defensa Central | Medio Centro Defensivo | ,29,Bueno,Alain Wiss
rewe Alexandr,England,Defensa Central,31,Bueno,Oliver Lancashire
t. Johnstone F,England,Portero,30,Bueno,Elliot Parish
ervette F,Switzerland,Medio Derecho | Medio Izquierdo | ,32,Bueno,Steven Lang
KS Raków Czestochowa S,Poland,Carrilero Izquierdo | Medio Derecho | Medio Izquierdo | Extremo Izquierdo | ,36,Bueno,Piotr Malinowski
entral Coast Mariner,Australia,Delantero Centro,34,Bueno,Matt Simon
urton Albio,England,Lateral Izquierdo,32,Bueno,Colin Daniel
alian YiFang F,China PR,Portero,32,Bueno,Zhang Chong
alian YiFang F,China PR,Defensa Central,32,Bueno,Yang Shanping
hongqing Dangdai Lifan FC SWM Tea,China PR,Lateral Izquierdo | Defensa Central | ,34,Bueno,Chen Lei
ianjin TEDA F,China PR,Lateral Derecho | Lateral Izquierdo | Medio Derecho | ,33,Bueno,Rong Hao
rka Gdyni,Poland,Defensa Central | Medio Centro Defensivo | ,32,Bueno,Adam Danch
ochdal,Scotland,Defensa Central,35,Bueno,Jim McNulty
e Mans F,France,Lateral Izquierdo | Medio Izquierdo | ,33,Bueno,Stéphen Vincent
radford Cit,England,Medio Izquierdo | Medio Centro | ,33,Bueno,Chris Taylor
alkenbergs F,Sweden,Lateral Derecho | Lateral Izquierdo | Defensa Central | ,33,Bueno,Tibor Joza
windon Tow,Scotland,Lateral Derecho,32,Bueno,Paul Caddis
C Groninge,Netherlands,Portero,33,Bueno,Marco van Duin
alford Cit,Wales,Portero,32,Bueno,Kyle Letheren
orthampton Tow,England,Lateral Derecho | Medio Derecho | Medio Centro Ofensivo | ,32,Bueno,Paul Anderson
orecamb,England,Delantero Centro,32,Bueno,Shaun Miller
orecamb,England,Lateral Derecho | Defensa Central | ,34,Bueno,Ritchie Sutton
ranmere Rover,England,Lateral Derecho | Defensa Central | ,33,Bueno,Calum Woods
tevenag,England,Medio Centro Defensivo | Medio Centro | ,33,Bueno,Joel Byrom
FC Eskilstun,Sweden,Delantero Centro | Medio Centro | ,31,Bueno,Denni Avdic
ansfield Tow,Wales,Delantero Centro,34,Bueno,Craig Davies
røndby I,Denmark,Portero,34,Bueno,Michael Tørnes
agoya Grampu,Japan,Defensa Central,35,Bueno,Kazuhiko Chiba
orest Green Rover,Republic of Ireland,Portero,34,Bueno,Conrad Logan
alford Cit,Gibraltar,Carrilero Derecho | Lateral Derecho | Extremo Derecho | ,34,Bueno,Scott Wiseman
KC Waalwij,Czech Republic,Lateral Izquierdo,35,Bueno,Paul Quasten
tevenag,Scotland,Delantero Centro | Medio Derecho | Extremo Derecho | ,36,Bueno,Craig Mackail-Smith
isla Ploc,Poland,Lateral Derecho,36,Bueno,Cezary Stefanczyk
ociedad Deportiva Auca,Argentina,Medio Izquierdo | Medio Centro Ofensivo | ,36,Bueno,Víctor Figueroa
aterford F,Republic of Ireland,Portero,37,Bueno,Brian Murphy
enevent,Italy,Portero,40,Bueno,Pier Graziano Gori
orecamb,Republic of Ireland,Portero,38,Bueno,Barry Roche
xeter Cit,England,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo | ,37,Bueno,Craig Woodman
C Erzgebirge Au,Germany,Portero,36,Bueno,Daniel Haas
otherham Unite,Wales,Portero,36,Bueno,Lewis Price
eyton Orien,Jamaica,Medio Derecho | Medio Izquierdo | ,38,Bueno,Jobi McAnuff
arlisle Unite,England,Portero,35,Bueno,Adam Collin
hrewsbur,Republic of Ireland,Portero,38,Bueno,Joe Murphy
oss County F,Scotland,Medio Derecho | Medio Centro | ,37,Bueno,Don Cowie
helse,lbania,Delantero Centro,18,Muy Bueno,Armando Broja
lub Atlético Peñaro,Uruguay,Medio Centro Defensivo | Medio Centro | ,21,Bueno,Kevin Lewis
hievo Veron,Italy,Medio Centro Defensivo | Medio Centro | ,18,Bueno,Emanuele Zuelli
alborg B,Canada,Delantero Centro,21,Bueno,Aramis Kouzine
. Sportin,Spain,Lateral Derecho,20,Bueno,Guille Rosas
arcelona Guayaqui,Ecuador,Medio Centro Defensivo,25,Bueno,Éder Cetré
arcelona Guayaqui,Ecuador,Medio Centro Defensivo,27,Bueno,Nixon Molina
BC Melga,Peru,Lateral Derecho,23,Bueno,Eduardo Rabanal
thletic Clu,Spain,Portero,21,Bueno,Ander Iru
iverpool Fútbol Clu,Uruguay,Medio Izquierdo,29,Bueno,Bruno Correa
iverpool Fútbol Clu,Uruguay,Medio Centro,19,Bueno,Martín Fernández
lub Sportivo Luqueñ,Paraguay,Defensa Central,26,Bueno,Eduardo Duarte
agan Tos,Japan,Extremo Izquierdo,29,Bueno,Yosuke Yuzawa
jøndalen I,Norway,Medio Izquierdo,21,Bueno,Lars Olden Larsen
tlanta Unite,Brazil,Medio Izquierdo | Media Punta | Extremo Izquierdo | ,23,Bueno,Luiz Fernando
mpact Montréa,Haiti,Medio Centro Defensivo,27,Bueno,Steeven Saba
port Huancay,Peru,Medio Derecho,22,Bueno,Carlos Jimémez
laneros Escuela de Fútbo,Venezuela,Defensa Central,25,Bueno,Germán Chanchamire
laneros Escuela de Fútbo,Venezuela,Lateral Derecho | Defensa Central | ,26,Bueno,Alejandro González
anathinaikos F,Greece,Medio Centro Ofensivo,18,Bueno,Andreas Athanasakopoulos
D Cobresa,Argentina,Defensa Central,33,Bueno,Ariel Coronel
inamo Zagre,Croatia,Medio Centro | Medio Centro Ofensivo | ,19,Bueno,Tomislav Krizmanic
rlando Pirate,South Africa,Medio Centro | Medio Centro Ofensivo | Extremo Izquierdo | ,24,Bueno,Nkanyiso Zungu
lub Sportivo Luqueñ,Paraguay,Delantero Centro,22,Bueno,Elías Meza
lub Sportivo Luqueñ,Paraguay,Medio Centro,22,Bueno,Ariel Shuartzman
lub Deportivo Jorge Wilsterman,Bolivia,Defensa Central,23,Bueno,Sebastian Reyes
lub Sportivo Luqueñ,Paraguay,Defensa Central,23,Bueno,Anibal Gómez
ranada C,Spain,Medio Derecho | Medio Izquierdo | Medio Centro Ofensivo | ,23,Bueno,Mario
oronto F,Canada,Medio Izquierdo | Extremo Izquierdo | ,17,Bueno,Jayden Nelson
lub Atlético Gra,Peru,Defensa Central,25,Bueno,Maelo Reátegui
asimpasa S,Czech Republic,Defensa Central,26,Bueno,Tomáš Brecka
A Osasun,Spain,Lateral Derecho | Defensa Central | ,21,Bueno,Zabarte
iver Plat,Argentina,Lateral Derecho | Defensa Central | ,21,Bueno,Franco Ezequiel Paredes
C Utrech,Netherlands,Extremo Derecho | Extremo Izquierdo | ,19,Bueno,Eros Maddy
C Utrech,Netherlands,Lateral Izquierdo,20,Bueno,Gabriël Çulhaci
usco Fútbol Clu,Peru,Extremo Derecho,28,Bueno,Pedro Gutiérrez
epsi OSK Sfântu Gheorgh,Romania,Medio Centro Defensivo | Medio Centro | ,27,Bueno,Lóránt Kovács
entro Atlético Féni,Uruguay,Medio Centro Defensivo,26,Bueno,Camilo Núñez
ayo Vallecan,Spain,Medio Derecho | Medio Izquierdo | ,18,Bueno,Moreno
lub Nacional de Footbal,Uruguay,Lateral Derecho | Defensa Central | ,19,Bueno,Renzo Orihuela
lub Nacional de Footbal,Argentina,Delantero Centro,24,Bueno,Cristian Duma
lub Nacional de Footbal,Uruguay,Medio Centro Defensivo | Medio Centro | ,17,Muy Bueno,Santiago Cartagena
ineros de Guayan,Venezuela,Portero,29,Bueno,Edixson González
ineros de Guayan,Venezuela,Portero,35,Bueno,Alan Liebeskind
ineros de Guayan,Venezuela,Defensa Central,27,Bueno,Adrián Martínez
.D. Universidad Católica del Ecuado,Ecuador,Extremo Izquierdo,21,Bueno,Daniel Segura
entro Atlético Féni,Uruguay,Medio Centro,22,Bueno,Richard Nuñez
rlando City Soccer Clu,United States,Delantero Centro,20,Muy Bueno,Daryl Dike
bha Clu,Jordan,Delantero Centro,29,Bueno,Moaath Afana
lub Naciona,Paraguay,Defensa Central,25,Bueno,Hugo Espínola
S Saint-Étienn,France,Delantero Centro | Extremo Derecho | Extremo Izquierdo | ,18,Bueno,Maxence Rivera
anfrecce Hiroshim,Japan,Medio Izquierdo,23,Bueno,Yuya Asano
lub Deportivo Oriente Petroler,Bolivia,Lateral Derecho | Defensa Central | ,23,Bueno,Widen Saucedo
lub Sportivo Luqueñ,Paraguay,Medio Centro,29,Bueno,Blas Díaz
lub Sportivo Luqueñ,Paraguay,Delantero Centro,30,Bueno,Cristian Paredes
lub River Plate Asunció,Paraguay,Delantero Centro,33,Bueno,Dionicio Pérez
lub Sportivo Luqueñ,Paraguay,Delantero Centro,20,Bueno,Isidro Pitta
ociedad Deportiva Auca,Ecuador,Delantero Centro,26,Bueno,Jorge Palacios
lub Deportivo Oriente Petroler,Bolivia,Portero,24,Bueno,Rodrigo Banegas
rlando City Soccer Clu,United States,Medio Centro Ofensivo | Media Punta | ,21,Bueno,David Loera
lub Always Read,Bolivia,Medio Centro,26,Bueno,Hugo Rojas
C Paderborn 0,Germany,Medio Centro,18,Bueno,Adrian Oeynhausen
atfor,England,Defensa Central,19,Bueno,Bayli Spencer-Adams
lub Brugge K,Senegal,Delantero Centro,18,Bueno,Youssouph Badji
eportivo Past,Venezuela,Lateral Izquierdo | Defensa Central | ,26,Bueno,Leonardo Aponte
C Heerenvee,Netherlands,Delantero Centro,19,Bueno,Rein Smit
ranada C,Spain,Defensa Central | Medio Centro Defensivo | ,20,Bueno,Pepe Sánchez
D Tenerif,Spain,Medio Centro Defensivo | Medio Centro | Medio Centro Ofensivo | ,20,Bueno,Álex Cruz
lub Sportivo Luqueñ,Argentina,Medio Centro,29,Bueno,Walter Ortíz
S Saint-Étienn,Guinea Bissau,Delantero Centro | Extremo Izquierdo | ,20,Bueno,Indjai Correia
amora Fútbol Clu,Venezuela,Delantero Centro | Medio Derecho | ,23,Bueno,Richard Figueroa
amora Fútbol Clu,Venezuela,Medio Centro Defensivo,25,Bueno,Romeri Villamizar
aracas Fútbol Clu,Venezuela,Defensa Central,26,Bueno,Javier Maldonado
amora Fútbol Clu,Venezuela,Delantero Centro | Medio Derecho | ,27,Bueno,Pedro Ramírez
amora Fútbol Clu,Venezuela,Lateral Derecho | Lateral Izquierdo | Defensa Central | ,22,Bueno,Kevin De La Hoz
laneros Escuela de Fútbo,Venezuela,Medio Derecho | Extremo Derecho | Extremo Izquierdo | ,25,Bueno,Jhony Rodríguez
laneros Escuela de Fútbo,Venezuela,Medio Derecho,20,Bueno,Junior Vargas
lub Atlético River Plat,Uruguay,Lateral Izquierdo,23,Bueno,Facundo Silvera
laneros Escuela de Fútbo,Venezuela,Lateral Izquierdo,32,Bueno,Carlos Torres
osario Centra,Argentina,Medio Izquierdo,21,Bueno,Alan Marinelli
studiantes de La Plat,Argentina,Medio Centro Defensivo,18,Muy Bueno,David Ayala
alenciennes F,France,Medio Centro,18,Bueno,Noah Diliberto
lub Sol de Améric,Paraguay,Medio Derecho,23,Bueno,Yonathan Samaniego
lub Atlético Gra,Peru,Lateral Izquierdo,21,Bueno,Roberto Céspedes
lub Atlético Gra,Peru,Medio Centro Defensivo | Medio Centro | ,23,Bueno,Axel Sánchez
lub Atlético Gra,Peru,Medio Izquierdo | Medio Centro | ,25,Bueno,Juan Raúl Neira
lub Sol de Améric,Paraguay,Lateral Derecho | Defensa Central | ,19,Bueno,Marcelo Molinas
esiktas J,Turkey,Medio Centro,19,Bueno,Kartal Yilmaz
rabzonspo,Turkey,Lateral Derecho | Medio Derecho | ,21,Bueno,Serkan Asan
ew England Revolutio,United States,Extremo Izquierdo,17,Bueno,Damian Rivera
ociedad Deportiva Auca,Colombia,Portero,42,Bueno,Luis Fernando Fernández
ociedad Deportiva Auca,Ecuador,Defensa Central,31,Bueno,Javier Quiñónez
lub Social Cultural y Deportivo Bloomi,Bolivia,Defensa Central,21,Bueno,Leonardo Urapuca
ree Agent,New Zealand,Medio Centro Ofensivo | Extremo Derecho | Extremo Izquierdo | ,20,Bueno,Elijah Just
C Chambly Ois,France,Delantero Centro,20,Bueno,Bastian Badu
